IOD,EN,Neutral,LN
+IOD,"1982, 1987, 1991, 1997, 2015, 2019","1994, 2012, 2017, 2018, 2020","2007, 2011"
Neutral,2002,"1981, 1983, 1986, 1990, 1993, 1995, 1998, 2001, 2003, 2004, 2006, 2009, 2010, 2013, 2014, 2016","1988, 1999, 2000, 2008, 2021"
-IOD,1992,"1980, 2005","1984, 1985, 1989, 1996"
