Date,Daily Average Precipitation,NINO 3.4 SST Anomalies,DMI,ENSO,IOD,Rainfall Anomaly,Year
1980-12-31,2.6414166666666667,-0.0623125,-0.3268333333333333,Neutral,-IOD,0.14940158730158704,1980
1981-12-31,1.9189,-0.0623125,-0.17333333333333334,Neutral,Neutral,-0.5731150793650797,1981
1982-12-31,2.075416666666667,0.7408333333333333,0.32083333333333336,EN,+IOD,-0.4165984126984128,1982
1983-12-31,1.700825,0.19583333333333333,-0.06791666666666667,Neutral,Neutral,-0.7911900793650797,1983
1984-12-31,3.094666666666667,-0.755,-0.22883333333333333,LN,Neutral,0.6026515873015872,1984
1985-12-31,2.3977083333333336,-0.8741666666666666,-0.28733333333333333,LN,-IOD,-0.09430674603174616,1985
1986-12-31,2.529166666666667,-0.09083333333333334,-0.13666666666666666,Neutral,Neutral,0.037151587301587075,1986
1987-12-31,2.3549166666666665,0.8574999999999999,0.19791666666666666,EN,Neutral,-0.13709841269841316,1987
1988-12-31,2.634,-1.0791666666666666,-0.1025,LN,Neutral,0.1419849206349202,1988
1989-12-31,2.474833333333333,-0.9141666666666667,-0.269,LN,-IOD,-0.017181746031746492,1989
1990-12-31,1.8930833333333335,-0.018333333333333333,-0.159,Neutral,Neutral,-0.5989317460317463,1990
1991-12-31,2.16335,0.45999999999999996,0.21358333333333335,Neutral,Neutral,-0.3286650793650798,1991
1992-12-31,2.6132500000000003,0.5066666666666667,-0.4655,Neutral,-IOD,0.12123492063492058,1992
1993-12-31,2.692,0.22,-0.06066666666666667,Neutral,Neutral,0.19998492063492046,1993
1994-12-31,2.415766666666667,0.3125,0.47858333333333336,Neutral,+IOD,-0.07624841269841287,1994
1995-12-31,2.83975,-0.25916666666666666,-0.015083333333333336,Neutral,Neutral,0.3477349206349203,1995
1996-12-31,2.48875,-0.5291666666666667,-0.36166666666666664,Neutral,-IOD,-0.0032650793650796928,1996
1997-12-31,1.6620416666666669,0.8916666666666666,0.5183333333333333,EN,+IOD,-0.8299734126984128,1997
1998-12-31,2.8039416666666668,-0.21750000000000003,-0.0655,Neutral,Neutral,0.31192658730158707,1998
1999-12-31,2.592541666666667,-1.1925000000000001,0.03425,LN,Neutral,0.10052658730158726,1999
2000-12-31,2.533166666666667,-0.9508333333333333,0.06949999999999999,LN,Neutral,0.04115158730158708,2000
2001-12-31,2.716666666666667,-0.3766666666666667,-0.02383333333333333,Neutral,Neutral,0.22465158730158707,2001
2002-12-31,2.227375,0.5166666666666667,0.02,Neutral,Neutral,-0.26464007936507983,2002
2003-12-31,2.8853333333333335,0.18166666666666667,0.06325,Neutral,Neutral,0.3933182539682538,2003
2004-12-31,2.6519166666666667,0.32,-0.036833333333333336,Neutral,Neutral,0.159901587301587,2004
2005-12-31,2.482083333333333,0.023333333333333327,-0.1940833333333333,Neutral,Neutral,-0.009931746031746513,2005
2006-12-31,3.1184166666666666,0.0775,0.18158333333333335,Neutral,Neutral,0.6264015873015869,2006
2007-12-31,3.31125,-0.46083333333333326,0.20041666666666666,Neutral,Neutral,0.8192349206349201,2007
2008-12-31,2.6789166666666664,-0.6791666666666667,0.15541666666666668,LN,Neutral,0.18690158730158668,2008
2009-12-31,2.1519416666666666,0.365,0.1366666666666667,Neutral,Neutral,-0.34007341269841307,2009
2010-12-31,2.616275,-0.3116666666666667,0.05691666666666667,Neutral,Neutral,0.1242599206349202,2010
2011-12-31,3.026,-0.7433333333333333,0.2861666666666667,LN,+IOD,0.5339849206349201,2011
2012-12-31,2.5915416666666666,-0.026666666666666675,0.2054166666666667,Neutral,Neutral,0.09952658730158692,2012
2013-12-31,2.8007500000000003,-0.23416666666666666,-0.03525,Neutral,Neutral,0.3087349206349206,2013
2014-12-31,2.120525,0.125,-0.0017500000000000005,Neutral,Neutral,-0.3714900793650795,2014
2015-12-31,1.7868333333333333,1.3658333333333335,0.26766666666666666,EN,+IOD,-0.7051817460317464,2015
2016-12-31,2.280866666666667,0.38083333333333336,-0.14875000000000002,Neutral,Neutral,-0.2111484126984129,2016
2017-12-31,2.6068333333333333,-0.09083333333333334,0.36074999999999996,Neutral,+IOD,0.11481825396825363,2017
2018-12-31,2.5305833333333334,0.07500000000000001,0.29525,Neutral,+IOD,0.038568253968253696,2018
2019-12-31,1.8119500000000002,0.5333333333333333,0.6314166666666666,Neutral,+IOD,-0.6800650793650795,2019
2020-12-31,2.6446666666666667,-0.2825,0.18666666666666665,Neutral,Neutral,0.152651587301587,2020
2021-12-31,3.104416666666667,-0.555,0.12266666666666666,Neutral,Neutral,0.6124015873015871,2021
