Date,Year,Month,Season,ONI,NINO 1+2 SST,NINO 1+2 SST Anomalies,NINO 3 SST,NINO 3 SST Anomalies,NINO 3.4 SST,NINO 3.4 SST Anomalies,NINO 4 SST,NINO 4 SST Anomalies,OLR,TNI,PNA,Precipitation (mm/day),SOI
1954-03-01,1954,MAR,FMA 1954,-0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.788,-1.44,NAN,0.3
1954-04-01,1954,APR,MAM 1954,-0.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.702,-2.86,NAN,0.6
1954-05-01,1954,MAY,AMJ 1954,-0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.839,0.65,NAN,0.5
1954-06-01,1954,JUN,MJJ 1954,-0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.800,0.09,NAN,0.1
1954-07-01,1954,JUL,JJA 1954,-0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.338,-0.14,NAN,0.4
1954-08-01,1954,AUG,JAS 1954,-0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.982,-0.11,NAN,1.1
1954-09-01,1954,SEP,ASO 1954,-0.9,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.607,-0.04,NAN,0.2
1954-10-01,1954,OCT,SON 1954,-0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.464,0.99,NAN,0.3
1954-11-01,1954,NOV,OND 1954,-0.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.189,1.38,NAN,0.1
1954-12-01,1954,DEC,NDJ 1954,-0.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.081,-0.82,NAN,1.4
1955-01-01,1955,JAN,DJF 1955,-0.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.316,-0.14,NAN,-0.5
1955-02-01,1955,JAN,JFM 1955,-0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.489,-2.62,NAN,1.9
1955-03-01,1955,FEB,FMA 1955,-0.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.619,-2.47,NAN,0.6
1955-04-01,1955,MAR,MAM 1955,-0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.358,-0.24,NAN,-0.1
1955-05-01,1955,APR,AMJ 1955,-0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.399,-0.42,NAN,1.0
1955-06-01,1955,MAY,MJJ 1955,-0.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.319,0.11,NAN,1.3
1955-07-01,1955,JUN,JJA 1955,-0.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.045,-1.32,NAN,1.6
1955-08-01,1955,JUL,JAS 1955,-0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.147,-0.55,NAN,1.5
1955-09-01,1955,AUG,ASO 1955,-1.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.346,-0.22,NAN,1.3
1955-10-01,1955,SEP,SON 1955,-1.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.411,0.51,NAN,1.5
1955-11-01,1955,OCT,OND 1955,-1.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.545,-0.93,NAN,1.2
1955-12-01,1955,NOV,NDJ 1955,-1.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.840,-2.37,NAN,1.0
1956-01-01,1956,JAN,DJF 1956,-1.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.092,-2.34,NAN,1.3
1956-02-01,1956,FEB,JFM 1956,-0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.119,-1.69,NAN,1.6
1956-03-01,1956,MAR,FMA 1956,-0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.977,-0.97,NAN,1.3
1956-04-01,1956,APR,MAM 1956,-0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.993,-0.17,NAN,0.9
1956-05-01,1956,MAY,AMJ 1956,-0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.983,-0.17,NAN,1.4
1956-06-01,1956,JUN,MJJ 1956,-0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.723,-0.08,NAN,1.1
1956-07-01,1956,JUL,JJA 1956,-0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.707,-1.28,NAN,1.1
1956-08-01,1956,AUG,JAS 1956,-0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.767,-0.23,NAN,1.2
1956-09-01,1956,SEP,ASO 1956,-0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.661,0.42,NAN,0.1
1956-10-01,1956,OCT,SON 1956,-0.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.341,-2.16,NAN,1.8
1956-11-01,1956,NOV,OND 1956,-0.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.035,1.00,NAN,0.2
1956-12-01,1956,DEC,NDJ 1956,-0.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.111,-0.61,NAN,1.1
